name,latitude,longitude
0,-23.4240668,-46.4225752
1,-23.4351759,-46.4171272
2,-23.4444948,-46.4425063
3,-23.4549619,-46.4187692
4,-23.4003252,-46.5372939
5,-23.4027673,-46.5281838
6,-23.3769966,-46.4510303
7,-23.4555355,-46.5229129
8,-23.4023326,-46.4674474
9,-23.4460492,-46.43834
10,-23.4614389,-46.4036761
11,-23.4584043,-46.5677794
12,-23.4582714,-46.542252
13,-23.4354693,-46.542862
14,-23.4395541,-46.5317145
15,-23.4576349,-46.4143811
16,-23.4568948,-46.4372913
17,-23.4366263,-46.546016
18,-23.4174025,-46.4953216
19,-23.4376593,-46.5500681
20,-23.4306633,-46.5346649
21,-23.4783824,-46.5524572
22,-23.4600583,-46.5543631
23,-23.4087199,-46.389782
24,-23.4330014,-46.5204218
25,-23.4225387,-46.4391793
26,-23.4905324,-46.55685
27,-23.4422895,-46.5152488
28,-23.4045129,-46.392571
29,-23.4703484,-46.540646
30,-23.4661865,-46.5277471
31,-23.4613965,-46.5245769
32,-23.4357129,-46.4023671
33,-23.4653629,-46.4225842
34,-23.4341052,-46.5600021
35,-23.4516977,-46.4693695
36,-23.4276735,-46.5064317
37,-23.4096117,-46.4499093
38,-23.4300334,-46.5143888
39,-23.4490877,-46.4678715
40,-23.4571134,-46.535849
41,-23.4502864,-46.535908
42,-23.4558857,-46.4604704
43,-23.4404733,-46.5573311
44,-23.4353769,-46.4152401
45,-23.3927267,-46.4367103
46,-23.4163436,-46.4703525
47,-23.3909362,-46.4333248
48,-23.4338563,-46.5528981
49,-23.4387897,-46.4611914
50,-23.478836,-46.388291
51,-23.4185388,-46.4362463
52,-23.4326094,-46.5275109
53,-23.4523887,-46.5604973
54,-23.3951919,-46.393974
55,-23.4608823,-46.5636552
56,-23.4425063,-46.5569481
57,-23.4407727,-46.3842745
58,-23.4228947,-46.4949847
59,-23.4251735,-46.5075987
60,-23.4941195,-46.5451211
61,-23.4328838,-46.4371033
62,-23.4287378,-46.4362523
63,-23.4470704,-46.5325629
64,-23.4737156,-46.3903733
65,-23.47312,-46.397806
66,-23.472515,-46.398005
67,-23.4206128,-46.4360783
68,-23.4687018,-46.528386
69,-23.4649776,-46.5120158
70,-23.4383605,-46.5165208
71,-23.3940647,-46.4387013
72,-23.3950757,-46.4409373
73,-23.4586635,-46.5123088
74,-23.4454934,-46.540403
75,-23.4416428,-46.4213372
76,-23.4748848,-46.4388873
77,-23.4433429,-46.4174192
78,-23.4983735,-46.5562492
79,-23.4743452,-46.4388264
80,-23.4442104,-46.5263299
81,-23.4412499,-46.4140451
82,-23.4296018,-46.4291002
83,-23.4108197,-46.4449483
84,-23.3983823,-46.5220318
85,-23.4431348,-46.4303992
86,-23.4194215,-46.4928666
87,-23.4241148,-46.4301732
88,-23.4381057,-46.4607734
89,-23.5065655,-46.5558572
90,-23.4394327,-46.4650274
91,-23.4104275,-46.5008536
92,-23.4558135,-46.5257809
93,-23.4060063,-46.5366829
94,-23.4549713,-46.5494371
95,-23.4282994,-46.5189198
96,-23.4202295,-46.4945226
97,-23.4063467,-46.4511163
98,-23.3989769,-46.391209
99,-23.4318375,-46.5092997
100,-23.4107358,-46.4183872
101,-23.4048759,-46.397451
102,-23.4433744,-46.5311359
103,-23.4218308,-46.4290052
104,-23.4355075,-46.5092897
105,-23.4133678,-46.4195982
106,-23.4150974,-46.5066337
107,-23.4671684,-46.539416
108,-23.4546354,-46.538226
109,-23.4371494,-46.5238699
110,-23.4614371,-46.5675527
111,-23.4309613,-46.542704
112,-23.4055386,-46.4563444
113,-23.4164059,-46.4039601
114,-23.4041627,-46.4445833
115,-23.4190455,-46.4953916
116,-23.4500376,-46.5042367
117,-23.4534446,-46.46003
118,-23.4530574,-46.539401
119,-23.4290883,-46.539144
120,-23.4014939,-46.39792
121,-23.4287225,-46.5026037
122,-23.4502845,-46.5062837
123,-23.4290635,-46.5008577
124,-23.4381634,-46.5281529
125,-23.4330548,-46.4424543
126,-23.4050824,-46.5101057
127,-23.4483816,-46.5016977
128,-23.4081156,-46.4747195
129,-23.4351823,-46.543413
130,-23.4446308,-46.4359863
131,-23.4363762,-46.5598351
132,-23.4781375,-46.534397
133,-23.4400792,-46.5617142
134,-23.4056515,-46.4893896
135,-23.4545726,-46.5043467
136,-23.4104746,-46.4599014
137,-23.4789619,-46.5576954
138,-23.4120918,-46.4153931
139,-23.4532287,-46.4594964
140,-23.424931,-46.3696029
141,-23.4336397,-46.4552994
142,-23.4439229,-46.4203822
143,-23.4184086,-46.4674674
144,-23.4523186,-46.5042307
145,-23.4449903,-46.5566491
146,-23.4298508,-46.4283872
147,-23.4857665,-46.5462831
148,-23.4505925,-46.5239359
149,-23.4579884,-46.539955
150,-23.3786091,-46.443294
151,-23.4333792,-46.5614332
152,-23.4628109,-46.4135551
153,-23.4127206,-46.4606174
154,-23.476089,-46.390159
155,-23.5009975,-46.5490572
156,-23.411092,-46.3767759
157,-23.4355068,-46.4342733
158,-23.4504317,-46.5551003
159,-23.4042378,-46.4138331
160,-23.4792025,-46.5394521
161,-23.4235703,-46.5312949
162,-23.4149366,-46.4622494
163,-23.4225988,-46.4149531
164,-23.4453639,-46.4168712
165,-23.4370363,-46.546882
166,-23.4042823,-46.5183748
167,-23.4607366,-46.5102048
168,-23.4014966,-46.4637274
169,-23.3838726,-46.4511773
170,-23.4756644,-46.5441851
171,-23.4263175,-46.5070897
172,-23.4571964,-46.536182
173,-23.4379769,-46.4173932
174,-23.4290279,-46.398682
175,-23.4579615,-46.5225009
176,-23.4200295,-46.5068847
177,-23.4280838,-46.4350223
178,-23.4221232,-46.5561991
179,-23.3896502,-46.4413648
180,-23.4628284,-46.538058
181,-23.4448507,-46.5656914
182,-23.4711579,-46.4250492
183,-23.4759944,-46.5486471
184,-23.4456319,-46.4120551
185,-23.4411185,-46.5182838
186,-23.4666483,-46.5610672
187,-23.4306022,-46.5633972
188,-23.4546835,-46.5142528
189,-23.4322153,-46.5350679
190,-23.4503748,-46.4265892
191,-23.4523874,-46.5447711
192,-23.4643296,-46.4998587
193,-23.4592909,-46.4219092
194,-23.423271,-46.4943943
195,-23.3991607,-46.4326112
196,-23.4443559,-46.4202852
197,-23.4062275,-46.4621616
198,-23.4971085,-46.5548012
199,-23.4217215,-46.4962916
200,-23.4115977,-46.4435953
201,-23.4062125,-46.4981696
202,-23.4321238,-46.4274252
203,-23.4757584,-46.5447001
204,-23.4667039,-46.4156722
205,-23.4447225,-46.5104478
206,-23.4345838,-46.4348473
207,-23.4429947,-46.4581444
208,-23.4660499,-46.4088671
209,-23.4046377,-46.4494153
210,-23.4455537,-46.4676185
211,-23.4389355,-46.5165568
212,-23.4186917,-46.4602694
213,-23.4946035,-46.5492262
214,-23.4912396,-46.5464935
215,-23.4092638,-46.4232792
216,-23.4358103,-46.5503972
217,-23.4521447,-46.5560983
218,-23.47893,-46.391793
219,-23.4030168,-46.4178252
220,-23.4057273,-46.5209948
221,-23.4569069,-46.4132991
222,-23.4472259,-46.4203542
223,-23.4348054,-46.5191068
224,-23.4406847,-46.4606714
225,-23.4295935,-46.5025107
226,-23.4068058,-46.539132
227,-23.4449534,-46.5281769
228,-23.4080164,-46.5049607
229,-23.4790835,-46.3919482
230,-23.4410254,-46.5218438
231,-23.4531845,-46.5196408
232,-23.4592885,-46.5211599
233,-23.4039405,-46.4867695
234,-23.4653379,-46.4026751
235,-23.4208013,-46.5289849
236,-23.4487998,-46.4254442
237,-23.4418596,-46.3839882
238,-23.4134329,-46.4029571
239,-23.4232674,-46.5181718
240,-23.4242276,-46.494243
241,-23.467027,-46.393176
